,year,area,sektor,jobtype,n_jobtype_area_,n_sektor_area,n_area,n_year
0,2007,storkoebenhavn,it,database,447,14136,129310,380597
1,2007,storkoebenhavn,it,itdrift,2894,14136,129310,380597
2,2007,storkoebenhavn,it,itkurser,3,14136,129310,380597
4,2007,storkoebenhavn,it,internet,719,14136,129310,380597
5,2007,storkoebenhavn,it,systemudvikling,8163,14136,129310,380597
6,2007,storkoebenhavn,it,telekom,349,14136,129310,380597
7,2007,storkoebenhavn,it,virksomhedssystemer,1303,14136,129310,380597
8,2007,storkoebenhavn,ingenioer,byggeteknik,2029,8638,129310,380597
9,2007,storkoebenhavn,ingenioer,elektronik,1188,8638,129310,380597
10,2007,storkoebenhavn,ingenioer,kemi,2567,8638,129310,380597
12,2007,storkoebenhavn,ingenioer,maskiningenioer,1509,8638,129310,380597
13,2007,storkoebenhavn,ingenioer,medicinal,1133,8638,129310,380597
14,2007,storkoebenhavn,ingenioer,produktionsteknik,1219,8638,129310,380597
15,2007,storkoebenhavn,ledelse,detailledelse,0,13081,129310,380597
16,2007,storkoebenhavn,ledelse,freelancekonsulent,307,13081,129310,380597
17,2007,storkoebenhavn,ledelse,hrkurser,9,13081,129310,380597
18,2007,storkoebenhavn,ledelse,itledelse,2348,13081,129310,380597
19,2007,storkoebenhavn,ledelse,institutions,1166,13081,129310,380597
20,2007,storkoebenhavn,ledelse,leder,3361,13081,129310,380597
21,2007,storkoebenhavn,ledelse,teknikledelse,543,13081,129310,380597
22,2007,storkoebenhavn,ledelse,personale,1784,13081,129310,380597
23,2007,storkoebenhavn,ledelse,projektledelse,2517,13081,129310,380597
24,2007,storkoebenhavn,ledelse,salgschef,1399,13081,129310,380597
25,2007,storkoebenhavn,ledelse,topledelse,169,13081,129310,380597
26,2007,storkoebenhavn,ledelse,virksomhedsudvikling,0,13081,129310,380597
27,2007,storkoebenhavn,ledelse,oekonomichef,549,13081,129310,380597
28,2007,storkoebenhavn,handel,bud,701,23080,129310,380597
29,2007,storkoebenhavn,handel,boernepasning,186,23080,129310,380597
30,2007,storkoebenhavn,handel,detailhandel,12278,23080,129310,380597
32,2007,storkoebenhavn,handel,frisoer,265,23080,129310,380597
33,2007,storkoebenhavn,handel,hotel,5579,23080,129310,380597
34,2007,storkoebenhavn,handel,rengoering,2263,23080,129310,380597
35,2007,storkoebenhavn,handel,service,1413,23080,129310,380597
36,2007,storkoebenhavn,handel,sikkerhed,468,23080,129310,380597
37,2007,storkoebenhavn,industri,blik,667,12200,129310,380597
38,2007,storkoebenhavn,industri,byggeri,1089,12200,129310,380597
39,2007,storkoebenhavn,industri,elektriker,1169,12200,129310,380597
40,2007,storkoebenhavn,industri,industri,1186,12200,129310,380597
