,n_jobtype_area_,n_year,n_sektor_area,n_area,jobtype,sektor,area,year
0,447,380597,14136,129310,database,it,storkoebenhavn,2007
1,2894,380597,14136,129310,itdrift,it,storkoebenhavn,2007
2,3,380597,14136,129310,itkurser,it,storkoebenhavn,2007
3,2348,380597,14136,129310,itledelse,it,storkoebenhavn,2007
4,719,380597,14136,129310,internet,it,storkoebenhavn,2007
5,8163,380597,14136,129310,systemudvikling,it,storkoebenhavn,2007
6,349,380597,14136,129310,telekom,it,storkoebenhavn,2007
7,1303,380597,14136,129310,virksomhedssystemer,it,storkoebenhavn,2007
8,2029,380597,8638,129310,byggeteknik,ingenioer,storkoebenhavn,2007
9,1188,380597,8638,129310,elektronik,ingenioer,storkoebenhavn,2007
10,2567,380597,8638,129310,kemi,ingenioer,storkoebenhavn,2007
11,543,380597,8638,129310,teknikledelse,ingenioer,storkoebenhavn,2007
12,1509,380597,8638,129310,maskiningenioer,ingenioer,storkoebenhavn,2007
13,1133,380597,8638,129310,medicinal,ingenioer,storkoebenhavn,2007
14,1219,380597,8638,129310,produktionsteknik,ingenioer,storkoebenhavn,2007
15,0,380597,13081,129310,detailledelse,ledelse,storkoebenhavn,2007
16,307,380597,13081,129310,freelancekonsulent,ledelse,storkoebenhavn,2007
17,9,380597,13081,129310,hrkurser,ledelse,storkoebenhavn,2007
18,2348,380597,13081,129310,itledelse,ledelse,storkoebenhavn,2007
19,1166,380597,13081,129310,institutions,ledelse,storkoebenhavn,2007
20,3361,380597,13081,129310,leder,ledelse,storkoebenhavn,2007
21,543,380597,13081,129310,teknikledelse,ledelse,storkoebenhavn,2007
22,1784,380597,13081,129310,personale,ledelse,storkoebenhavn,2007
23,2517,380597,13081,129310,projektledelse,ledelse,storkoebenhavn,2007
24,1399,380597,13081,129310,salgschef,ledelse,storkoebenhavn,2007
25,169,380597,13081,129310,topledelse,ledelse,storkoebenhavn,2007
26,0,380597,13081,129310,virksomhedsudvikling,ledelse,storkoebenhavn,2007
27,549,380597,13081,129310,oekonomichef,ledelse,storkoebenhavn,2007
28,701,380597,23080,129310,bud,handel,storkoebenhavn,2007
29,186,380597,23080,129310,boernepasning,handel,storkoebenhavn,2007
30,12278,380597,23080,129310,detailhandel,handel,storkoebenhavn,2007
31,888,380597,23080,129310,ejendomsservice,handel,storkoebenhavn,2007
32,265,380597,23080,129310,frisoer,handel,storkoebenhavn,2007
33,5579,380597,23080,129310,hotel,handel,storkoebenhavn,2007
34,2263,380597,23080,129310,rengoering,handel,storkoebenhavn,2007
35,1413,380597,23080,129310,service,handel,storkoebenhavn,2007
36,468,380597,23080,129310,sikkerhed,handel,storkoebenhavn,2007
37,667,380597,12200,129310,blik,industri,storkoebenhavn,2007
38,1089,380597,12200,129310,byggeri,industri,storkoebenhavn,2007
39,1169,380597,12200,129310,elektriker,industri,storkoebenhavn,2007
40,1186,380597,12200,129310,industri,industri,storkoebenhavn,2007
41,996,380597,12200,129310,jern,industri,storkoebenhavn,2007
42,2326,380597,12200,129310,lager,industri,storkoebenhavn,2007
43,317,380597,12200,129310,landbrug,industri,storkoebenhavn,2007
44,277,380597,12200,129310,maling,industri,storkoebenhavn,2007
45,980,380597,12200,129310,mekanik,industri,storkoebenhavn,2007
46,1217,380597,12200,129310,naeringsmiddel,industri,storkoebenhavn,2007
47,200,380597,12200,129310,tekstil,industri,storkoebenhavn,2007
48,2161,380597,12200,129310,transport,industri,storkoebenhavn,2007
49,82,380597,12200,129310,traeindustri,industri,storkoebenhavn,2007
50,560,380597,12200,129310,toemrer,industri,storkoebenhavn,2007
51,185,380597,13416,129310,design,salg,storkoebenhavn,2007
52,205,380597,13416,129310,ejendomsmaegler,salg,storkoebenhavn,2007
53,779,380597,13416,129310,grafisk,salg,storkoebenhavn,2007
54,1090,380597,13416,129310,kommunikation,salg,storkoebenhavn,2007
55,263,380597,13416,129310,kultur,salg,storkoebenhavn,2007
56,2322,380597,13416,129310,marketing,salg,storkoebenhavn,2007
57,7072,380597,13416,129310,salg,salg,storkoebenhavn,2007
58,3,380597,13416,129310,salgskurser,salg,storkoebenhavn,2007
59,23,380597,13416,129310,franchise,salg,storkoebenhavn,2007
60,957,380597,13416,129310,telemarketing,salg,storkoebenhavn,2007
61,230,380597,17603,129310,bibliotek,undervisning,storkoebenhavn,2007
62,3537,380597,17603,129310,forskning,undervisning,storkoebenhavn,2007
63,2326,380597,17603,129310,laerer,undervisning,storkoebenhavn,2007
64,10560,380597,17603,129310,paedagog,undervisning,storkoebenhavn,2007
65,0,380597,32319,129310,akademisk,kontor,storkoebenhavn,2007
66,205,380597,32319,129310,ejendomsmaegler,kontor,storkoebenhavn,2007
67,888,380597,32319,129310,ejendomsservice,kontor,storkoebenhavn,2007
68,4808,380597,32319,129310,finans,kontor,storkoebenhavn,2007
69,916,380597,32319,129310,indkoeb,kontor,storkoebenhavn,2007
70,1365,380597,32319,129310,jura,kontor,storkoebenhavn,2007
71,10397,380597,32319,129310,kontor,kontor,storkoebenhavn,2007
72,7,380597,32319,129310,kontorkurser,kontor,storkoebenhavn,2007
73,550,380597,32319,129310,kontorelev,kontor,storkoebenhavn,2007
74,1279,380597,32319,129310,logistik,kontor,storkoebenhavn,2007
