,area,jobtype,n_area,n_jobtype_area_,n_sektor_area,n_year,sektor,year
0,storkoebenhavn,database,59463,265,7990,172785,it,2010
1,storkoebenhavn,itdrift,59463,1446,7990,172785,it,2010
2,storkoebenhavn,itkurser,59463,0,7990,172785,it,2010
3,storkoebenhavn,itledelse,59463,1909,7990,172785,it,2010
4,storkoebenhavn,internet,59463,504,7990,172785,it,2010
5,storkoebenhavn,systemudvikling,59463,4087,7990,172785,it,2010
6,storkoebenhavn,telekom,59463,111,7990,172785,it,2010
7,storkoebenhavn,virksomhedssystemer,59463,734,7990,172785,it,2010
8,storkoebenhavn,byggeteknik,59463,925,4174,172785,ingenioer,2010
9,storkoebenhavn,elektronik,59463,561,4174,172785,ingenioer,2010
10,storkoebenhavn,kemi,59463,1214,4174,172785,ingenioer,2010
11,storkoebenhavn,teknikledelse,59463,470,4174,172785,ingenioer,2010
12,storkoebenhavn,maskiningenioer,59463,618,4174,172785,ingenioer,2010
13,storkoebenhavn,medicinal,59463,626,4174,172785,ingenioer,2010
14,storkoebenhavn,produktionsteknik,59463,723,4174,172785,ingenioer,2010
15,storkoebenhavn,detailledelse,59463,0,8302,172785,ledelse,2010
16,storkoebenhavn,freelancekonsulent,59463,283,8302,172785,ledelse,2010
17,storkoebenhavn,hrkurser,59463,2,8302,172785,ledelse,2010
18,storkoebenhavn,itledelse,59463,1909,8302,172785,ledelse,2010
19,storkoebenhavn,institutions,59463,428,8302,172785,ledelse,2010
20,storkoebenhavn,leder,59463,2288,8302,172785,ledelse,2010
21,storkoebenhavn,teknikledelse,59463,470,8302,172785,ledelse,2010
22,storkoebenhavn,personale,59463,777,8302,172785,ledelse,2010
23,storkoebenhavn,projektledelse,59463,1742,8302,172785,ledelse,2010
24,storkoebenhavn,salgschef,59463,751,8302,172785,ledelse,2010
25,storkoebenhavn,topledelse,59463,110,8302,172785,ledelse,2010
26,storkoebenhavn,virksomhedsudvikling,59463,0,8302,172785,ledelse,2010
27,storkoebenhavn,oekonomichef,59463,322,8302,172785,ledelse,2010
28,storkoebenhavn,bud,59463,46,9011,172785,handel,2010
29,storkoebenhavn,boernepasning,59463,113,9011,172785,handel,2010
30,storkoebenhavn,detailhandel,59463,4616,9011,172785,handel,2010
31,storkoebenhavn,ejendomsservice,59463,322,9011,172785,handel,2010
32,storkoebenhavn,frisoer,59463,101,9011,172785,handel,2010
33,storkoebenhavn,hotel,59463,2781,9011,172785,handel,2010
34,storkoebenhavn,rengoering,59463,683,9011,172785,handel,2010
35,storkoebenhavn,service,59463,528,9011,172785,handel,2010
36,storkoebenhavn,sikkerhed,59463,172,9011,172785,handel,2010
37,storkoebenhavn,blik,59463,192,3070,172785,industri,2010
38,storkoebenhavn,byggeri,59463,286,3070,172785,industri,2010
39,storkoebenhavn,elektriker,59463,323,3070,172785,industri,2010
40,storkoebenhavn,industri,59463,217,3070,172785,industri,2010
41,storkoebenhavn,jern,59463,173,3070,172785,industri,2010
42,storkoebenhavn,lager,59463,393,3070,172785,industri,2010
43,storkoebenhavn,landbrug,59463,173,3070,172785,industri,2010
44,storkoebenhavn,maling,59463,99,3070,172785,industri,2010
45,storkoebenhavn,mekanik,59463,340,3070,172785,industri,2010
46,storkoebenhavn,naeringsmiddel,59463,386,3070,172785,industri,2010
47,storkoebenhavn,tekstil,59463,91,3070,172785,industri,2010
48,storkoebenhavn,transport,59463,488,3070,172785,industri,2010
49,storkoebenhavn,traeindustri,59463,14,3070,172785,industri,2010
50,storkoebenhavn,toemrer,59463,106,3070,172785,industri,2010
51,storkoebenhavn,design,59463,76,8192,172785,salg,2010
52,storkoebenhavn,ejendomsmaegler,59463,162,8192,172785,salg,2010
53,storkoebenhavn,grafisk,59463,225,8192,172785,salg,2010
54,storkoebenhavn,kommunikation,59463,766,8192,172785,salg,2010
55,storkoebenhavn,kultur,59463,167,8192,172785,salg,2010
56,storkoebenhavn,marketing,59463,1487,8192,172785,salg,2010
57,storkoebenhavn,salg,59463,4106,8192,172785,salg,2010
58,storkoebenhavn,salgskurser,59463,0,8192,172785,salg,2010
59,storkoebenhavn,franchise,59463,55,8192,172785,salg,2010
60,storkoebenhavn,telemarketing,59463,809,8192,172785,salg,2010
61,storkoebenhavn,bibliotek,59463,133,8696,172785,undervisning,2010
62,storkoebenhavn,forskning,59463,3005,8696,172785,undervisning,2010
63,storkoebenhavn,laerer,59463,867,8696,172785,undervisning,2010
64,storkoebenhavn,paedagog,59463,4097,8696,172785,undervisning,2010
65,storkoebenhavn,akademisk,59463,0,14281,172785,kontor,2010
66,storkoebenhavn,ejendomsmaegler,59463,162,14281,172785,kontor,2010
67,storkoebenhavn,ejendomsservice,59463,322,14281,172785,kontor,2010
68,storkoebenhavn,finans,59463,1952,14281,172785,kontor,2010
69,storkoebenhavn,indkoeb,59463,501,14281,172785,kontor,2010
70,storkoebenhavn,jura,59463,1099,14281,172785,kontor,2010
71,storkoebenhavn,kontor,59463,4532,14281,172785,kontor,2010
72,storkoebenhavn,kontorkurser,59463,0,14281,172785,kontor,2010
73,storkoebenhavn,kontorelev,59463,420,14281,172785,kontor,2010
74,storkoebenhavn,logistik,59463,497,14281,172785,kontor,2010
75,storkoebenhavn,offentlig,59463,648,14281,172785,kontor,2010
76,storkoebenhavn,oversaettelse,59463,252,14281,172785,kontor,2010
77,storkoebenhavn,sekretaer,59463,1088,14281,172785,kontor,2010
78,storkoebenhavn,oekonomi,59463,4137,14281,172785,kontor,2010
79,storkoebenhavn,laege,59463,930,5551,172785,social,2010
80,storkoebenhavn,laegesekretaer,59463,319,5551,172785,social,2010
81,storkoebenhavn,pleje,59463,1360,5551,172785,social,2010
82,storkoebenhavn,psykologi,59463,216,5551,172785,social,2010
83,storkoebenhavn,socialraadgivning,59463,700,5551,172785,social,2010
84,storkoebenhavn,tandlaege,59463,130,5551,172785,social,2010
85,storkoebenhavn,teknisksundhed,59463,67,5551,172785,social,2010
86,storkoebenhavn,terapi,59463,375,5551,172785,social,2010
87,storkoebenhavn,elev,59463,1270,7179,172785,oevrige,2010
88,storkoebenhavn,forsvar,59463,0,7179,172785,oevrige,2010
89,storkoebenhavn,frivilligt,59463,306,7179,172785,oevrige,2010
90,storkoebenhavn,student,59463,3020,7179,172785,oevrige,2010
91,storkoebenhavn,studiepraktik,59463,348,7179,172785,oevrige,2010
92,storkoebenhavn,oevrige,59463,1892,7179,172785,oevrige,2010
93,storkoebenhavn,kurseroevrige,59463,0,7179,172785,oevrige,2010
94,nordsjaelland,database,10928,18,824,172785,it,2010
95,nordsjaelland,itdrift,10928,153,824,172785,it,2010
96,nordsjaelland,itkurser,10928,0,824,172785,it,2010
97,nordsjaelland,itledelse,10928,201,824,172785,it,2010
98,nordsjaelland,internet,10928,31,824,172785,it,2010
99,nordsjaelland,systemudvikling,10928,422,824,172785,it,2010
100,nordsjaelland,telekom,10928,9,824,172785,it,2010
101,nordsjaelland,virksomhedssystemer,10928,60,824,172785,it,2010
102,nordsjaelland,byggeteknik,10928,217,996,172785,ingenioer,2010
103,nordsjaelland,elektronik,10928,150,996,172785,ingenioer,2010
104,nordsjaelland,kemi,10928,293,996,172785,ingenioer,2010
105,nordsjaelland,teknikledelse,10928,101,996,172785,ingenioer,2010
106,nordsjaelland,maskiningenioer,10928,146,996,172785,ingenioer,2010
107,nordsjaelland,medicinal,10928,143,996,172785,ingenioer,2010
108,nordsjaelland,produktionsteknik,10928,174,996,172785,ingenioer,2010
109,nordsjaelland,detailledelse,10928,0,1177,172785,ledelse,2010
110,nordsjaelland,freelancekonsulent,10928,15,1177,172785,ledelse,2010
111,nordsjaelland,hrkurser,10928,0,1177,172785,ledelse,2010
112,nordsjaelland,itledelse,10928,201,1177,172785,ledelse,2010
113,nordsjaelland,institutions,10928,146,1177,172785,ledelse,2010
114,nordsjaelland,leder,10928,347,1177,172785,ledelse,2010
115,nordsjaelland,teknikledelse,10928,101,1177,172785,ledelse,2010
116,nordsjaelland,personale,10928,86,1177,172785,ledelse,2010
117,nordsjaelland,projektledelse,10928,224,1177,172785,ledelse,2010
118,nordsjaelland,salgschef,10928,70,1177,172785,ledelse,2010
119,nordsjaelland,topledelse,10928,15,1177,172785,ledelse,2010
120,nordsjaelland,virksomhedsudvikling,10928,0,1177,172785,ledelse,2010
121,nordsjaelland,oekonomichef,10928,48,1177,172785,ledelse,2010
122,nordsjaelland,bud,10928,13,2083,172785,handel,2010
123,nordsjaelland,boernepasning,10928,16,2083,172785,handel,2010
124,nordsjaelland,detailhandel,10928,1208,2083,172785,handel,2010
125,nordsjaelland,ejendomsservice,10928,60,2083,172785,handel,2010
126,nordsjaelland,frisoer,10928,16,2083,172785,handel,2010
127,nordsjaelland,hotel,10928,513,2083,172785,handel,2010
128,nordsjaelland,rengoering,10928,206,2083,172785,handel,2010
129,nordsjaelland,service,10928,94,2083,172785,handel,2010
130,nordsjaelland,sikkerhed,10928,42,2083,172785,handel,2010
131,nordsjaelland,blik,10928,42,792,172785,industri,2010
132,nordsjaelland,byggeri,10928,80,792,172785,industri,2010
133,nordsjaelland,elektriker,10928,47,792,172785,industri,2010
134,nordsjaelland,industri,10928,107,792,172785,industri,2010
135,nordsjaelland,jern,10928,70,792,172785,industri,2010
136,nordsjaelland,lager,10928,101,792,172785,industri,2010
137,nordsjaelland,landbrug,10928,55,792,172785,industri,2010
138,nordsjaelland,maling,10928,13,792,172785,industri,2010
139,nordsjaelland,mekanik,10928,113,792,172785,industri,2010
140,nordsjaelland,naeringsmiddel,10928,101,792,172785,industri,2010
141,nordsjaelland,tekstil,10928,17,792,172785,industri,2010
142,nordsjaelland,transport,10928,85,792,172785,industri,2010
143,nordsjaelland,traeindustri,10928,5,792,172785,industri,2010
144,nordsjaelland,toemrer,10928,31,792,172785,industri,2010
145,nordsjaelland,design,10928,11,1007,172785,salg,2010
146,nordsjaelland,ejendomsmaegler,10928,49,1007,172785,salg,2010
147,nordsjaelland,grafisk,10928,25,1007,172785,salg,2010
148,nordsjaelland,kommunikation,10928,70,1007,172785,salg,2010
149,nordsjaelland,kultur,10928,58,1007,172785,salg,2010
150,nordsjaelland,marketing,10928,187,1007,172785,salg,2010
151,nordsjaelland,salg,10928,505,1007,172785,salg,2010
152,nordsjaelland,salgskurser,10928,0,1007,172785,salg,2010
153,nordsjaelland,franchise,10928,11,1007,172785,salg,2010
154,nordsjaelland,telemarketing,10928,66,1007,172785,salg,2010
155,nordsjaelland,bibliotek,10928,30,2439,172785,undervisning,2010
156,nordsjaelland,forskning,10928,802,2439,172785,undervisning,2010
157,nordsjaelland,laerer,10928,304,2439,172785,undervisning,2010
158,nordsjaelland,paedagog,10928,1141,2439,172785,undervisning,2010
159,nordsjaelland,akademisk,10928,0,1939,172785,kontor,2010
160,nordsjaelland,ejendomsmaegler,10928,49,1939,172785,kontor,2010
161,nordsjaelland,ejendomsservice,10928,60,1939,172785,kontor,2010
162,nordsjaelland,finans,10928,260,1939,172785,kontor,2010
163,nordsjaelland,indkoeb,10928,78,1939,172785,kontor,2010
164,nordsjaelland,jura,10928,82,1939,172785,kontor,2010
165,nordsjaelland,kontor,10928,525,1939,172785,kontor,2010
166,nordsjaelland,kontorkurser,10928,0,1939,172785,kontor,2010
167,nordsjaelland,kontorelev,10928,53,1939,172785,kontor,2010
168,nordsjaelland,logistik,10928,59,1939,172785,kontor,2010
169,nordsjaelland,offentlig,10928,153,1939,172785,kontor,2010
170,nordsjaelland,oversaettelse,10928,33,1939,172785,kontor,2010
171,nordsjaelland,sekretaer,10928,180,1939,172785,kontor,2010
172,nordsjaelland,oekonomi,10928,543,1939,172785,kontor,2010
173,nordsjaelland,laege,10928,128,1368,172785,social,2010
174,nordsjaelland,laegesekretaer,10928,49,1368,172785,social,2010
175,nordsjaelland,pleje,10928,516,1368,172785,social,2010
176,nordsjaelland,psykologi,10928,64,1368,172785,social,2010
177,nordsjaelland,socialraadgivning,10928,195,1368,172785,social,2010
178,nordsjaelland,tandlaege,10928,33,1368,172785,social,2010
179,nordsjaelland,teknisksundhed,10928,8,1368,172785,social,2010
180,nordsjaelland,terapi,10928,88,1368,172785,social,2010
181,nordsjaelland,elev,10928,218,1029,172785,oevrige,2010
182,nordsjaelland,forsvar,10928,0,1029,172785,oevrige,2010
183,nordsjaelland,frivilligt,10928,65,1029,172785,oevrige,2010
184,nordsjaelland,student,10928,356,1029,172785,oevrige,2010
185,nordsjaelland,studiepraktik,10928,35,1029,172785,oevrige,2010
186,nordsjaelland,oevrige,10928,306,1029,172785,oevrige,2010
187,nordsjaelland,kurseroevrige,10928,0,1029,172785,oevrige,2010
188,region-sjaelland,database,13767,9,407,172785,it,2010
189,region-sjaelland,itdrift,13767,110,407,172785,it,2010
190,region-sjaelland,itkurser,13767,0,407,172785,it,2010
191,region-sjaelland,itledelse,13767,67,407,172785,it,2010
192,region-sjaelland,internet,13767,37,407,172785,it,2010
193,region-sjaelland,systemudvikling,13767,181,407,172785,it,2010
194,region-sjaelland,telekom,13767,13,407,172785,it,2010
195,region-sjaelland,virksomhedssystemer,13767,50,407,172785,it,2010
196,region-sjaelland,byggeteknik,13767,201,878,172785,ingenioer,2010
197,region-sjaelland,elektronik,13767,97,878,172785,ingenioer,2010
198,region-sjaelland,kemi,13767,234,878,172785,ingenioer,2010
199,region-sjaelland,teknikledelse,13767,130,878,172785,ingenioer,2010
200,region-sjaelland,maskiningenioer,13767,149,878,172785,ingenioer,2010
201,region-sjaelland,medicinal,13767,122,878,172785,ingenioer,2010
202,region-sjaelland,produktionsteknik,13767,175,878,172785,ingenioer,2010
203,region-sjaelland,detailledelse,13767,0,1380,172785,ledelse,2010
204,region-sjaelland,freelancekonsulent,13767,44,1380,172785,ledelse,2010
205,region-sjaelland,hrkurser,13767,0,1380,172785,ledelse,2010
206,region-sjaelland,itledelse,13767,67,1380,172785,ledelse,2010
207,region-sjaelland,institutions,13767,217,1380,172785,ledelse,2010
208,region-sjaelland,leder,13767,474,1380,172785,ledelse,2010
209,region-sjaelland,teknikledelse,13767,130,1380,172785,ledelse,2010
210,region-sjaelland,personale,13767,112,1380,172785,ledelse,2010
211,region-sjaelland,projektledelse,13767,187,1380,172785,ledelse,2010
212,region-sjaelland,salgschef,13767,136,1380,172785,ledelse,2010
213,region-sjaelland,topledelse,13767,43,1380,172785,ledelse,2010
214,region-sjaelland,virksomhedsudvikling,13767,0,1380,172785,ledelse,2010
215,region-sjaelland,oekonomichef,13767,43,1380,172785,ledelse,2010
216,region-sjaelland,bud,13767,26,3055,172785,handel,2010
217,region-sjaelland,boernepasning,13767,32,3055,172785,handel,2010
218,region-sjaelland,detailhandel,13767,1562,3055,172785,handel,2010
219,region-sjaelland,ejendomsservice,13767,74,3055,172785,handel,2010
220,region-sjaelland,frisoer,13767,76,3055,172785,handel,2010
221,region-sjaelland,hotel,13767,714,3055,172785,handel,2010
222,region-sjaelland,rengoering,13767,481,3055,172785,handel,2010
223,region-sjaelland,service,13767,146,3055,172785,handel,2010
224,region-sjaelland,sikkerhed,13767,80,3055,172785,handel,2010
225,region-sjaelland,blik,13767,69,1514,172785,industri,2010
226,region-sjaelland,byggeri,13767,144,1514,172785,industri,2010
227,region-sjaelland,elektriker,13767,132,1514,172785,industri,2010
228,region-sjaelland,industri,13767,159,1514,172785,industri,2010
229,region-sjaelland,jern,13767,91,1514,172785,industri,2010
230,region-sjaelland,lager,13767,175,1514,172785,industri,2010
231,region-sjaelland,landbrug,13767,156,1514,172785,industri,2010
232,region-sjaelland,maling,13767,35,1514,172785,industri,2010
233,region-sjaelland,mekanik,13767,174,1514,172785,industri,2010
234,region-sjaelland,naeringsmiddel,13767,153,1514,172785,industri,2010
235,region-sjaelland,tekstil,13767,41,1514,172785,industri,2010
236,region-sjaelland,transport,13767,230,1514,172785,industri,2010
237,region-sjaelland,traeindustri,13767,10,1514,172785,industri,2010
238,region-sjaelland,toemrer,13767,61,1514,172785,industri,2010
239,region-sjaelland,design,13767,16,1633,172785,salg,2010
240,region-sjaelland,ejendomsmaegler,13767,38,1633,172785,salg,2010
241,region-sjaelland,grafisk,13767,44,1633,172785,salg,2010
242,region-sjaelland,kommunikation,13767,74,1633,172785,salg,2010
243,region-sjaelland,kultur,13767,102,1633,172785,salg,2010
244,region-sjaelland,marketing,13767,110,1633,172785,salg,2010
245,region-sjaelland,salg,13767,1060,1633,172785,salg,2010
246,region-sjaelland,salgskurser,13767,0,1633,172785,salg,2010
247,region-sjaelland,franchise,13767,35,1633,172785,salg,2010
248,region-sjaelland,telemarketing,13767,75,1633,172785,salg,2010
249,region-sjaelland,bibliotek,13767,35,2409,172785,undervisning,2010
250,region-sjaelland,forskning,13767,277,2409,172785,undervisning,2010
251,region-sjaelland,laerer,13767,569,2409,172785,undervisning,2010
252,region-sjaelland,paedagog,13767,1246,2409,172785,undervisning,2010
253,region-sjaelland,akademisk,13767,0,2009,172785,kontor,2010
254,region-sjaelland,ejendomsmaegler,13767,38,2009,172785,kontor,2010
255,region-sjaelland,ejendomsservice,13767,74,2009,172785,kontor,2010
256,region-sjaelland,finans,13767,207,2009,172785,kontor,2010
257,region-sjaelland,indkoeb,13767,93,2009,172785,kontor,2010
258,region-sjaelland,jura,13767,120,2009,172785,kontor,2010
259,region-sjaelland,kontor,13767,487,2009,172785,kontor,2010
260,region-sjaelland,kontorkurser,13767,0,2009,172785,kontor,2010
261,region-sjaelland,kontorelev,13767,100,2009,172785,kontor,2010
262,region-sjaelland,logistik,13767,81,2009,172785,kontor,2010
263,region-sjaelland,offentlig,13767,241,2009,172785,kontor,2010
264,region-sjaelland,oversaettelse,13767,61,2009,172785,kontor,2010
265,region-sjaelland,sekretaer,13767,188,2009,172785,kontor,2010
266,region-sjaelland,oekonomi,13767,449,2009,172785,kontor,2010
267,region-sjaelland,laege,13767,398,2611,172785,social,2010
268,region-sjaelland,laegesekretaer,13767,110,2611,172785,social,2010
269,region-sjaelland,pleje,13767,823,2611,172785,social,2010
270,region-sjaelland,psykologi,13767,108,2611,172785,social,2010
271,region-sjaelland,socialraadgivning,13767,309,2611,172785,social,2010
272,region-sjaelland,tandlaege,13767,86,2611,172785,social,2010
273,region-sjaelland,teknisksundhed,13767,35,2611,172785,social,2010
274,region-sjaelland,terapi,13767,161,2611,172785,social,2010
275,region-sjaelland,elev,13767,357,1192,172785,oevrige,2010
276,region-sjaelland,forsvar,13767,0,1192,172785,oevrige,2010
277,region-sjaelland,frivilligt,13767,89,1192,172785,oevrige,2010
278,region-sjaelland,student,13767,231,1192,172785,oevrige,2010
279,region-sjaelland,studiepraktik,13767,38,1192,172785,oevrige,2010
280,region-sjaelland,oevrige,13767,391,1192,172785,oevrige,2010
281,region-sjaelland,kurseroevrige,13767,0,1192,172785,oevrige,2010
282,fyn,database,10872,8,338,172785,it,2010
283,fyn,itdrift,10872,106,338,172785,it,2010
284,fyn,itkurser,10872,0,338,172785,it,2010
285,fyn,itledelse,10872,45,338,172785,it,2010
286,fyn,internet,10872,43,338,172785,it,2010
287,fyn,systemudvikling,10872,151,338,172785,it,2010
288,fyn,telekom,10872,10,338,172785,it,2010
289,fyn,virksomhedssystemer,10872,45,338,172785,it,2010
290,fyn,byggeteknik,10872,110,577,172785,ingenioer,2010
291,fyn,elektronik,10872,84,577,172785,ingenioer,2010
292,fyn,kemi,10872,138,577,172785,ingenioer,2010
293,fyn,teknikledelse,10872,68,577,172785,ingenioer,2010
294,fyn,maskiningenioer,10872,134,577,172785,ingenioer,2010
295,fyn,medicinal,10872,77,577,172785,ingenioer,2010
296,fyn,produktionsteknik,10872,104,577,172785,ingenioer,2010
297,fyn,detailledelse,10872,0,919,172785,ledelse,2010
298,fyn,freelancekonsulent,10872,35,919,172785,ledelse,2010
299,fyn,hrkurser,10872,0,919,172785,ledelse,2010
300,fyn,itledelse,10872,45,919,172785,ledelse,2010
301,fyn,institutions,10872,92,919,172785,ledelse,2010
302,fyn,leder,10872,315,919,172785,ledelse,2010
303,fyn,teknikledelse,10872,68,919,172785,ledelse,2010
304,fyn,personale,10872,58,919,172785,ledelse,2010
305,fyn,projektledelse,10872,148,919,172785,ledelse,2010
306,fyn,salgschef,10872,132,919,172785,ledelse,2010
307,fyn,topledelse,10872,26,919,172785,ledelse,2010
308,fyn,virksomhedsudvikling,10872,0,919,172785,ledelse,2010
309,fyn,oekonomichef,10872,49,919,172785,ledelse,2010
310,fyn,bud,10872,44,2465,172785,handel,2010
311,fyn,boernepasning,10872,39,2465,172785,handel,2010
312,fyn,detailhandel,10872,1067,2465,172785,handel,2010
313,fyn,ejendomsservice,10872,36,2465,172785,handel,2010
314,fyn,frisoer,10872,48,2465,172785,handel,2010
315,fyn,hotel,10872,654,2465,172785,handel,2010
316,fyn,rengoering,10872,534,2465,172785,handel,2010
317,fyn,service,10872,110,2465,172785,handel,2010
318,fyn,sikkerhed,10872,48,2465,172785,handel,2010
319,fyn,blik,10872,45,925,172785,industri,2010
320,fyn,byggeri,10872,116,925,172785,industri,2010
321,fyn,elektriker,10872,81,925,172785,industri,2010
322,fyn,industri,10872,86,925,172785,industri,2010
323,fyn,jern,10872,81,925,172785,industri,2010
324,fyn,lager,10872,91,925,172785,industri,2010
325,fyn,landbrug,10872,94,925,172785,industri,2010
326,fyn,maling,10872,29,925,172785,industri,2010
327,fyn,mekanik,10872,92,925,172785,industri,2010
328,fyn,naeringsmiddel,10872,78,925,172785,industri,2010
329,fyn,tekstil,10872,35,925,172785,industri,2010
330,fyn,transport,10872,122,925,172785,industri,2010
331,fyn,traeindustri,10872,10,925,172785,industri,2010
332,fyn,toemrer,10872,48,925,172785,industri,2010
333,fyn,design,10872,13,1425,172785,salg,2010
334,fyn,ejendomsmaegler,10872,36,1425,172785,salg,2010
335,fyn,grafisk,10872,38,1425,172785,salg,2010
336,fyn,kommunikation,10872,53,1425,172785,salg,2010
337,fyn,kultur,10872,47,1425,172785,salg,2010
338,fyn,marketing,10872,126,1425,172785,salg,2010
339,fyn,salg,10872,824,1425,172785,salg,2010
340,fyn,salgskurser,10872,0,1425,172785,salg,2010
341,fyn,franchise,10872,36,1425,172785,salg,2010
342,fyn,telemarketing,10872,177,1425,172785,salg,2010
343,fyn,bibliotek,10872,19,2132,172785,undervisning,2010
344,fyn,forskning,10872,667,2132,172785,undervisning,2010
345,fyn,laerer,10872,393,2132,172785,undervisning,2010
346,fyn,paedagog,10872,942,2132,172785,undervisning,2010
