,n_jobtype_area_,n_year,n_sektor_area,n_area,jobtype,sektor,area,year
0,437,255002,11987,98423,database,it,storkoebenhavn,2014
1,2221,255002,11987,98423,itdrift,it,storkoebenhavn,2014
2,205,255002,11987,98423,itkurser,it,storkoebenhavn,2014
3,1283,255002,11987,98423,itledelse,it,storkoebenhavn,2014
4,889,255002,11987,98423,internet,it,storkoebenhavn,2014
5,7288,255002,11987,98423,systemudvikling,it,storkoebenhavn,2014
6,173,255002,11987,98423,telekom,it,storkoebenhavn,2014
7,1546,255002,11987,98423,virksomhedssystemer,it,storkoebenhavn,2014
8,1765,255002,8475,98423,byggeteknik,ingenioer,storkoebenhavn,2014
9,1019,255002,8475,98423,elektronik,ingenioer,storkoebenhavn,2014
10,2395,255002,8475,98423,kemi,ingenioer,storkoebenhavn,2014
11,843,255002,8475,98423,teknikledelse,ingenioer,storkoebenhavn,2014
12,1490,255002,8475,98423,maskiningenioer,ingenioer,storkoebenhavn,2014
13,1777,255002,8475,98423,medicinal,ingenioer,storkoebenhavn,2014
14,1887,255002,8475,98423,produktionsteknik,ingenioer,storkoebenhavn,2014
15,0,255002,10849,98423,detailledelse,ledelse,storkoebenhavn,2014
16,192,255002,10849,98423,freelancekonsulent,ledelse,storkoebenhavn,2014
17,178,255002,10849,98423,hrkurser,ledelse,storkoebenhavn,2014
18,1283,255002,10849,98423,itledelse,ledelse,storkoebenhavn,2014
19,592,255002,10849,98423,institutions,ledelse,storkoebenhavn,2014
20,2511,255002,10849,98423,leder,ledelse,storkoebenhavn,2014
21,843,255002,10849,98423,teknikledelse,ledelse,storkoebenhavn,2014
22,1222,255002,10849,98423,personale,ledelse,storkoebenhavn,2014
23,3805,255002,10849,98423,projektledelse,ledelse,storkoebenhavn,2014
24,811,255002,10849,98423,salgschef,ledelse,storkoebenhavn,2014
25,192,255002,10849,98423,topledelse,ledelse,storkoebenhavn,2014
26,0,255002,10849,98423,virksomhedsudvikling,ledelse,storkoebenhavn,2014
27,347,255002,10849,98423,oekonomichef,ledelse,storkoebenhavn,2014
28,61,255002,11207,98423,bud,handel,storkoebenhavn,2014
29,82,255002,11207,98423,boernepasning,handel,storkoebenhavn,2014
30,5599,255002,11207,98423,detailhandel,handel,storkoebenhavn,2014
31,458,255002,11207,98423,ejendomsservice,handel,storkoebenhavn,2014
32,140,255002,11207,98423,frisoer,handel,storkoebenhavn,2014
33,3478,255002,11207,98423,hotel,handel,storkoebenhavn,2014
34,698,255002,11207,98423,rengoering,handel,storkoebenhavn,2014
35,730,255002,11207,98423,service,handel,storkoebenhavn,2014
36,310,255002,11207,98423,sikkerhed,handel,storkoebenhavn,2014
37,462,255002,5595,98423,blik,industri,storkoebenhavn,2014
38,536,255002,5595,98423,byggeri,industri,storkoebenhavn,2014
39,772,255002,5595,98423,elektriker,industri,storkoebenhavn,2014
40,469,255002,5595,98423,industri,industri,storkoebenhavn,2014
41,344,255002,5595,98423,jern,industri,storkoebenhavn,2014
42,604,255002,5595,98423,lager,industri,storkoebenhavn,2014
43,269,255002,5595,98423,landbrug,industri,storkoebenhavn,2014
44,154,255002,5595,98423,maling,industri,storkoebenhavn,2014
45,592,255002,5595,98423,mekanik,industri,storkoebenhavn,2014
46,523,255002,5595,98423,naeringsmiddel,industri,storkoebenhavn,2014
47,75,255002,5595,98423,tekstil,industri,storkoebenhavn,2014
48,862,255002,5595,98423,transport,industri,storkoebenhavn,2014
49,72,255002,5595,98423,traeindustri,industri,storkoebenhavn,2014
50,361,255002,5595,98423,toemrer,industri,storkoebenhavn,2014
51,100,255002,11548,98423,design,salg,storkoebenhavn,2014
52,313,255002,11548,98423,ejendomsmaegler,salg,storkoebenhavn,2014
53,335,255002,11548,98423,grafisk,salg,storkoebenhavn,2014
54,1409,255002,11548,98423,kommunikation,salg,storkoebenhavn,2014
55,286,255002,11548,98423,kultur,salg,storkoebenhavn,2014
56,2090,255002,11548,98423,marketing,salg,storkoebenhavn,2014
57,5738,255002,11548,98423,salg,salg,storkoebenhavn,2014
58,110,255002,11548,98423,salgskurser,salg,storkoebenhavn,2014
59,31,255002,11548,98423,franchise,salg,storkoebenhavn,2014
60,967,255002,11548,98423,telemarketing,salg,storkoebenhavn,2014
61,204,255002,15047,98423,bibliotek,undervisning,storkoebenhavn,2014
62,5453,255002,15047,98423,forskning,undervisning,storkoebenhavn,2014
63,2777,255002,15047,98423,laerer,undervisning,storkoebenhavn,2014
64,5994,255002,15047,98423,paedagog,undervisning,storkoebenhavn,2014
65,0,255002,20445,98423,akademisk,kontor,storkoebenhavn,2014
66,313,255002,20445,98423,ejendomsmaegler,kontor,storkoebenhavn,2014
67,458,255002,20445,98423,ejendomsservice,kontor,storkoebenhavn,2014
68,2897,255002,20445,98423,finans,kontor,storkoebenhavn,2014
69,746,255002,20445,98423,indkoeb,kontor,storkoebenhavn,2014
70,1417,255002,20445,98423,jura,kontor,storkoebenhavn,2014
71,6546,255002,20445,98423,kontor,kontor,storkoebenhavn,2014
72,272,255002,20445,98423,kontorkurser,kontor,storkoebenhavn,2014
73,535,255002,20445,98423,kontorelev,kontor,storkoebenhavn,2014
74,963,255002,20445,98423,logistik,kontor,storkoebenhavn,2014
75,1637,255002,20445,98423,offentlig,kontor,storkoebenhavn,2014
76,307,255002,20445,98423,oversaettelse,kontor,storkoebenhavn,2014
77,1080,255002,20445,98423,sekretaer,kontor,storkoebenhavn,2014
78,5771,255002,20445,98423,oekonomi,kontor,storkoebenhavn,2014
79,1631,255002,12616,98423,laege,social,storkoebenhavn,2014
80,735,255002,12616,98423,laegesekretaer,social,storkoebenhavn,2014
81,3221,255002,12616,98423,pleje,social,storkoebenhavn,2014
82,528,255002,12616,98423,psykologi,social,storkoebenhavn,2014
83,961,255002,12616,98423,socialraadgivning,social,storkoebenhavn,2014
84,334,255002,12616,98423,tandlaege,social,storkoebenhavn,2014
85,118,255002,12616,98423,teknisksundhed,social,storkoebenhavn,2014
86,798,255002,12616,98423,terapi,social,storkoebenhavn,2014
87,1097,255002,13532,98423,elev,oevrige,storkoebenhavn,2014
88,0,255002,13532,98423,forsvar,oevrige,storkoebenhavn,2014
89,2080,255002,13532,98423,frivilligt,oevrige,storkoebenhavn,2014
90,4209,255002,13532,98423,student,oevrige,storkoebenhavn,2014
91,1865,255002,13532,98423,studiepraktik,oevrige,storkoebenhavn,2014
92,3728,255002,13532,98423,oevrige,oevrige,storkoebenhavn,2014
93,136,255002,13532,98423,kurseroevrige,oevrige,storkoebenhavn,2014
94,33,255002,1083,16754,database,it,nordsjaelland,2014
95,196,255002,1083,16754,itdrift,it,nordsjaelland,2014
96,1,255002,1083,16754,itkurser,it,nordsjaelland,2014
97,118,255002,1083,16754,itledelse,it,nordsjaelland,2014
98,86,255002,1083,16754,internet,it,nordsjaelland,2014
99,689,255002,1083,16754,systemudvikling,it,nordsjaelland,2014
100,7,255002,1083,16754,telekom,it,nordsjaelland,2014
101,110,255002,1083,16754,virksomhedssystemer,it,nordsjaelland,2014
102,304,255002,1878,16754,byggeteknik,ingenioer,nordsjaelland,2014
103,282,255002,1878,16754,elektronik,ingenioer,nordsjaelland,2014
104,506,255002,1878,16754,kemi,ingenioer,nordsjaelland,2014
105,170,255002,1878,16754,teknikledelse,ingenioer,nordsjaelland,2014
106,456,255002,1878,16754,maskiningenioer,ingenioer,nordsjaelland,2014
107,341,255002,1878,16754,medicinal,ingenioer,nordsjaelland,2014
108,463,255002,1878,16754,produktionsteknik,ingenioer,nordsjaelland,2014
109,0,255002,1557,16754,detailledelse,ledelse,nordsjaelland,2014
110,16,255002,1557,16754,freelancekonsulent,ledelse,nordsjaelland,2014
111,11,255002,1557,16754,hrkurser,ledelse,nordsjaelland,2014
112,118,255002,1557,16754,itledelse,ledelse,nordsjaelland,2014
113,160,255002,1557,16754,institutions,ledelse,nordsjaelland,2014
114,468,255002,1557,16754,leder,ledelse,nordsjaelland,2014
115,170,255002,1557,16754,teknikledelse,ledelse,nordsjaelland,2014
116,172,255002,1557,16754,personale,ledelse,nordsjaelland,2014
117,469,255002,1557,16754,projektledelse,ledelse,nordsjaelland,2014
118,86,255002,1557,16754,salgschef,ledelse,nordsjaelland,2014
119,11,255002,1557,16754,topledelse,ledelse,nordsjaelland,2014
120,0,255002,1557,16754,virksomhedsudvikling,ledelse,nordsjaelland,2014
121,41,255002,1557,16754,oekonomichef,ledelse,nordsjaelland,2014
122,21,255002,2683,16754,bud,handel,nordsjaelland,2014
123,15,255002,2683,16754,boernepasning,handel,nordsjaelland,2014
124,1559,255002,2683,16754,detailhandel,handel,nordsjaelland,2014
125,80,255002,2683,16754,ejendomsservice,handel,nordsjaelland,2014
126,39,255002,2683,16754,frisoer,handel,nordsjaelland,2014
127,626,255002,2683,16754,hotel,handel,nordsjaelland,2014
128,218,255002,2683,16754,rengoering,handel,nordsjaelland,2014
129,137,255002,2683,16754,service,handel,nordsjaelland,2014
130,65,255002,2683,16754,sikkerhed,handel,nordsjaelland,2014
131,69,255002,1294,16754,blik,industri,nordsjaelland,2014
132,125,255002,1294,16754,byggeri,industri,nordsjaelland,2014
133,135,255002,1294,16754,elektriker,industri,nordsjaelland,2014
134,141,255002,1294,16754,industri,industri,nordsjaelland,2014
135,108,255002,1294,16754,jern,industri,nordsjaelland,2014
136,110,255002,1294,16754,lager,industri,nordsjaelland,2014
137,110,255002,1294,16754,landbrug,industri,nordsjaelland,2014
138,21,255002,1294,16754,maling,industri,nordsjaelland,2014
139,187,255002,1294,16754,mekanik,industri,nordsjaelland,2014
140,169,255002,1294,16754,naeringsmiddel,industri,nordsjaelland,2014
141,31,255002,1294,16754,tekstil,industri,nordsjaelland,2014
142,95,255002,1294,16754,transport,industri,nordsjaelland,2014
143,28,255002,1294,16754,traeindustri,industri,nordsjaelland,2014
144,74,255002,1294,16754,toemrer,industri,nordsjaelland,2014
145,17,255002,1176,16754,design,salg,nordsjaelland,2014
146,54,255002,1176,16754,ejendomsmaegler,salg,nordsjaelland,2014
147,39,255002,1176,16754,grafisk,salg,nordsjaelland,2014
148,105,255002,1176,16754,kommunikation,salg,nordsjaelland,2014
149,81,255002,1176,16754,kultur,salg,nordsjaelland,2014
150,227,255002,1176,16754,marketing,salg,nordsjaelland,2014
151,591,255002,1176,16754,salg,salg,nordsjaelland,2014
152,3,255002,1176,16754,salgskurser,salg,nordsjaelland,2014
153,7,255002,1176,16754,franchise,salg,nordsjaelland,2014
154,47,255002,1176,16754,telemarketing,salg,nordsjaelland,2014
155,47,255002,3481,16754,bibliotek,undervisning,nordsjaelland,2014
156,1051,255002,3481,16754,forskning,undervisning,nordsjaelland,2014
157,870,255002,3481,16754,laerer,undervisning,nordsjaelland,2014
158,1390,255002,3481,16754,paedagog,undervisning,nordsjaelland,2014
159,0,255002,2348,16754,akademisk,kontor,nordsjaelland,2014
160,54,255002,2348,16754,ejendomsmaegler,kontor,nordsjaelland,2014
161,80,255002,2348,16754,ejendomsservice,kontor,nordsjaelland,2014
162,289,255002,2348,16754,finans,kontor,nordsjaelland,2014
163,101,255002,2348,16754,indkoeb,kontor,nordsjaelland,2014
164,95,255002,2348,16754,jura,kontor,nordsjaelland,2014
165,549,255002,2348,16754,kontor,kontor,nordsjaelland,2014
166,8,255002,2348,16754,kontorkurser,kontor,nordsjaelland,2014
167,71,255002,2348,16754,kontorelev,kontor,nordsjaelland,2014
168,108,255002,2348,16754,logistik,kontor,nordsjaelland,2014
169,397,255002,2348,16754,offentlig,kontor,nordsjaelland,2014
170,38,255002,2348,16754,oversaettelse,kontor,nordsjaelland,2014
171,156,255002,2348,16754,sekretaer,kontor,nordsjaelland,2014
172,648,255002,2348,16754,oekonomi,kontor,nordsjaelland,2014
173,190,255002,3176,16754,laege,social,nordsjaelland,2014
174,76,255002,3176,16754,laegesekretaer,social,nordsjaelland,2014
175,1125,255002,3176,16754,pleje,social,nordsjaelland,2014
176,90,255002,3176,16754,psykologi,social,nordsjaelland,2014
177,341,255002,3176,16754,socialraadgivning,social,nordsjaelland,2014
178,138,255002,3176,16754,tandlaege,social,nordsjaelland,2014
179,24,255002,3176,16754,teknisksundhed,social,nordsjaelland,2014
180,243,255002,3176,16754,terapi,social,nordsjaelland,2014
181,251,255002,1796,16754,elev,oevrige,nordsjaelland,2014
182,0,255002,1796,16754,forsvar,oevrige,nordsjaelland,2014
183,460,255002,1796,16754,frivilligt,oevrige,nordsjaelland,2014
184,335,255002,1796,16754,student,oevrige,nordsjaelland,2014
185,106,255002,1796,16754,studiepraktik,oevrige,nordsjaelland,2014
186,576,255002,1796,16754,oevrige,oevrige,nordsjaelland,2014
187,3,255002,1796,16754,kurseroevrige,oevrige,nordsjaelland,2014
188,29,255002,647,23507,database,it,region-sjaelland,2014
189,201,255002,647,23507,itdrift,it,region-sjaelland,2014
190,1,255002,647,23507,itkurser,it,region-sjaelland,2014
191,54,255002,647,23507,itledelse,it,region-sjaelland,2014
192,56,255002,647,23507,internet,it,region-sjaelland,2014
193,341,255002,647,23507,systemudvikling,it,region-sjaelland,2014
194,11,255002,647,23507,telekom,it,region-sjaelland,2014
195,63,255002,647,23507,virksomhedssystemer,it,region-sjaelland,2014
196,423,255002,2005,23507,byggeteknik,ingenioer,region-sjaelland,2014
197,209,255002,2005,23507,elektronik,ingenioer,region-sjaelland,2014
198,576,255002,2005,23507,kemi,ingenioer,region-sjaelland,2014
199,206,255002,2005,23507,teknikledelse,ingenioer,region-sjaelland,2014
200,395,255002,2005,23507,maskiningenioer,ingenioer,region-sjaelland,2014
201,349,255002,2005,23507,medicinal,ingenioer,region-sjaelland,2014
202,516,255002,2005,23507,produktionsteknik,ingenioer,region-sjaelland,2014
203,0,255002,1848,23507,detailledelse,ledelse,region-sjaelland,2014
204,58,255002,1848,23507,freelancekonsulent,ledelse,region-sjaelland,2014
205,24,255002,1848,23507,hrkurser,ledelse,region-sjaelland,2014
