,år,område,sektor,jobtype,numbers
0,2007,storkoebenhavn,it,database,447
1,2007,storkoebenhavn,it,itdrift,2894
2,2007,storkoebenhavn,it,itkurser,3
3,2007,storkoebenhavn,it,itledelse,2348
4,2007,storkoebenhavn,it,internet,719
5,2007,storkoebenhavn,it,systemudvikling,8163
6,2007,storkoebenhavn,it,telekom,349
7,2007,storkoebenhavn,it,virksomhedssystemer,1303
8,2007,storkoebenhavn,ingenioer,byggeteknik,2029
9,2007,storkoebenhavn,ingenioer,elektronik,1188
10,2007,storkoebenhavn,ingenioer,kemi,2567
11,2007,storkoebenhavn,ingenioer,teknikledelse,543
12,2007,storkoebenhavn,ingenioer,maskiningenioer,1509
13,2007,storkoebenhavn,ingenioer,medicinal,1133
14,2007,storkoebenhavn,ingenioer,produktionsteknik,1219
15,2007,storkoebenhavn,ledelse,detailledelse,0
16,2007,storkoebenhavn,ledelse,freelancekonsulent,307
17,2007,storkoebenhavn,ledelse,hrkurser,9
18,2007,storkoebenhavn,ledelse,itledelse,2348
19,2007,storkoebenhavn,ledelse,institutions,1166
20,2007,storkoebenhavn,ledelse,leder,3361
21,2007,storkoebenhavn,ledelse,teknikledelse,543
22,2007,storkoebenhavn,ledelse,personale,1784
23,2007,storkoebenhavn,ledelse,projektledelse,2517
24,2007,storkoebenhavn,ledelse,salgschef,1399
25,2007,storkoebenhavn,ledelse,topledelse,169
26,2007,storkoebenhavn,ledelse,virksomhedsudvikling,0
27,2007,storkoebenhavn,ledelse,oekonomichef,549
28,2007,storkoebenhavn,handel,bud,701
29,2007,storkoebenhavn,handel,boernepasning,186
30,2007,storkoebenhavn,handel,detailhandel,12278
31,2007,storkoebenhavn,handel,ejendomsservice,888
32,2007,storkoebenhavn,handel,frisoer,265
33,2007,storkoebenhavn,handel,hotel,5579
34,2007,storkoebenhavn,handel,rengoering,2263
35,2007,storkoebenhavn,handel,service,1413
36,2007,storkoebenhavn,handel,sikkerhed,468
37,2007,storkoebenhavn,industri,blik,667
38,2007,storkoebenhavn,industri,byggeri,1089
39,2007,storkoebenhavn,industri,elektriker,1169
40,2007,storkoebenhavn,industri,industri,1186
41,2007,storkoebenhavn,industri,jern,996
42,2007,storkoebenhavn,industri,lager,2326
43,2007,storkoebenhavn,industri,landbrug,317
44,2007,storkoebenhavn,industri,maling,277
45,2007,storkoebenhavn,industri,mekanik,980
46,2007,storkoebenhavn,industri,naeringsmiddel,1217
47,2007,storkoebenhavn,industri,tekstil,200
48,2007,storkoebenhavn,industri,transport,2161
49,2007,storkoebenhavn,industri,traeindustri,82
50,2007,storkoebenhavn,industri,toemrer,560
51,2007,storkoebenhavn,salg,design,185
52,2007,storkoebenhavn,salg,ejendomsmaegler,205
53,2007,storkoebenhavn,salg,grafisk,779
54,2007,storkoebenhavn,salg,kommunikation,1090
55,2007,storkoebenhavn,salg,kultur,263
56,2007,storkoebenhavn,salg,marketing,2322
57,2007,storkoebenhavn,salg,salg,7072
58,2007,storkoebenhavn,salg,salgskurser,3
59,2007,storkoebenhavn,salg,franchise,23
60,2007,storkoebenhavn,salg,telemarketing,957
61,2007,storkoebenhavn,undervisning,bibliotek,230
62,2007,storkoebenhavn,undervisning,forskning,3537
63,2007,storkoebenhavn,undervisning,laerer,2326
64,2007,storkoebenhavn,undervisning,paedagog,10560
65,2007,storkoebenhavn,kontor,akademisk,0
66,2007,storkoebenhavn,kontor,ejendomsmaegler,205
67,2007,storkoebenhavn,kontor,ejendomsservice,888
68,2007,storkoebenhavn,kontor,finans,4808
69,2007,storkoebenhavn,kontor,indkoeb,916
70,2007,storkoebenhavn,kontor,jura,1365
71,2007,storkoebenhavn,kontor,kontor,10397
72,2007,storkoebenhavn,kontor,kontorkurser,7
73,2007,storkoebenhavn,kontor,kontorelev,550
74,2007,storkoebenhavn,kontor,logistik,1279
75,2007,storkoebenhavn,kontor,offentlig,1357
76,2007,storkoebenhavn,kontor,oversaettelse,357
77,2007,storkoebenhavn,kontor,sekretaer,3554
78,2007,storkoebenhavn,kontor,oekonomi,9527
79,2007,storkoebenhavn,social,laege,1794
80,2007,storkoebenhavn,social,laegesekretaer,1180
81,2007,storkoebenhavn,social,pleje,4390
82,2007,storkoebenhavn,social,psykologi,437
83,2007,storkoebenhavn,social,socialraadgivning,1023
84,2007,storkoebenhavn,social,tandlaege,316
85,2007,storkoebenhavn,social,teknisksundhed,288
86,2007,storkoebenhavn,social,terapi,742
87,2007,storkoebenhavn,oevrige,elev,1859
88,2007,storkoebenhavn,oevrige,forsvar,0
89,2007,storkoebenhavn,oevrige,frivilligt,216
90,2007,storkoebenhavn,oevrige,student,4736
91,2007,storkoebenhavn,oevrige,studiepraktik,13
92,2007,storkoebenhavn,oevrige,oevrige,4174
93,2007,storkoebenhavn,oevrige,kurseroevrige,11
94,2007,nordsjaelland,it,database,40
95,2007,nordsjaelland,it,itdrift,414
96,2007,nordsjaelland,it,itkurser,0
97,2007,nordsjaelland,it,itledelse,276
98,2007,nordsjaelland,it,internet,83
99,2007,nordsjaelland,it,systemudvikling,1157
100,2007,nordsjaelland,it,telekom,23
101,2007,nordsjaelland,it,virksomhedssystemer,175
102,2007,nordsjaelland,ingenioer,byggeteknik,678
103,2007,nordsjaelland,ingenioer,elektronik,368
104,2007,nordsjaelland,ingenioer,kemi,446
105,2007,nordsjaelland,ingenioer,teknikledelse,143
106,2007,nordsjaelland,ingenioer,maskiningenioer,384
107,2007,nordsjaelland,ingenioer,medicinal,228
108,2007,nordsjaelland,ingenioer,produktionsteknik,363
109,2007,nordsjaelland,ledelse,detailledelse,0
110,2007,nordsjaelland,ledelse,freelancekonsulent,17
111,2007,nordsjaelland,ledelse,hrkurser,0
112,2007,nordsjaelland,ledelse,itledelse,276
113,2007,nordsjaelland,ledelse,institutions,342
114,2007,nordsjaelland,ledelse,leder,538
115,2007,nordsjaelland,ledelse,teknikledelse,143
116,2007,nordsjaelland,ledelse,personale,237
117,2007,nordsjaelland,ledelse,projektledelse,381
118,2007,nordsjaelland,ledelse,salgschef,223
119,2007,nordsjaelland,ledelse,topledelse,25
120,2007,nordsjaelland,ledelse,virksomhedsudvikling,0
121,2007,nordsjaelland,ledelse,oekonomichef,79
122,2007,nordsjaelland,handel,bud,383
123,2007,nordsjaelland,handel,boernepasning,45
124,2007,nordsjaelland,handel,detailhandel,3104
125,2007,nordsjaelland,handel,ejendomsservice,206
126,2007,nordsjaelland,handel,frisoer,67
127,2007,nordsjaelland,handel,hotel,1157
128,2007,nordsjaelland,handel,rengoering,644
129,2007,nordsjaelland,handel,service,345
130,2007,nordsjaelland,handel,sikkerhed,95
131,2007,nordsjaelland,industri,blik,190
132,2007,nordsjaelland,industri,byggeri,351
133,2007,nordsjaelland,industri,elektriker,264
134,2007,nordsjaelland,industri,industri,594
135,2007,nordsjaelland,industri,jern,473
136,2007,nordsjaelland,industri,lager,550
137,2007,nordsjaelland,industri,landbrug,173
138,2007,nordsjaelland,industri,maling,68
139,2007,nordsjaelland,industri,mekanik,343
140,2007,nordsjaelland,industri,naeringsmiddel,314
141,2007,nordsjaelland,industri,tekstil,41
142,2007,nordsjaelland,industri,transport,544
143,2007,nordsjaelland,industri,traeindustri,34
144,2007,nordsjaelland,industri,toemrer,183
145,2007,nordsjaelland,salg,design,33
146,2007,nordsjaelland,salg,ejendomsmaegler,53
147,2007,nordsjaelland,salg,grafisk,185
148,2007,nordsjaelland,salg,kommunikation,99
149,2007,nordsjaelland,salg,kultur,54
150,2007,nordsjaelland,salg,marketing,281
151,2007,nordsjaelland,salg,salg,970
152,2007,nordsjaelland,salg,salgskurser,0
153,2007,nordsjaelland,salg,franchise,3
154,2007,nordsjaelland,salg,telemarketing,42
155,2007,nordsjaelland,undervisning,bibliotek,76
156,2007,nordsjaelland,undervisning,forskning,557
157,2007,nordsjaelland,undervisning,laerer,977
158,2007,nordsjaelland,undervisning,paedagog,2925
159,2007,nordsjaelland,kontor,akademisk,0
160,2007,nordsjaelland,kontor,ejendomsmaegler,53
161,2007,nordsjaelland,kontor,ejendomsservice,206
162,2007,nordsjaelland,kontor,finans,572
163,2007,nordsjaelland,kontor,indkoeb,182
164,2007,nordsjaelland,kontor,jura,129
165,2007,nordsjaelland,kontor,kontor,1267
